track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",ROSALÍA,88,3844bY26oeSkqd06th4EYp,"Yo x Ti, Tu x Mi",2019-08-15,Chixtape 5 - Tory Lanez,0UXwwVDipbBQeEX7h4YuKU,r&b,urban contemporary,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,201040
5srIkb35ees5dhgjK3zdfz,Collateral Damage,Burna Boy,66,34vlTd4355ddD4q9pPsoqF,African Giant,2019-07-25,Global X,37i9dQZF1DWUxHPh2rEiHr,latin,latin pop,0.739,0.852,2,-7.323,0,0.0453,0.51,0.123,0.157,0.903,102.014,197559
1JV7GONwi6qMLb9J7kcSTV,Dembow,Wisin & Yandel,58,0y7oxuXXNYU62jnrvutSSm,Mi Vida…My Life,2003,Reggaeton De Ayer,37i9dQZF1DWWU6Rfto8Ppm,latin,reggaeton,0.735,0.809,0,-4.238,0,0.119,0.29,0.0,0.124,0.875,93.126,178040
4ESyocZUQ3fOlCbNP6n17i,Bossanova,Lil Tecca,70,1I6FpscJIfwf4T56VxGVsB,We Love You Tecca,2019-08-30,Hip-Hop Central,37i9dQZF1DWY6tYEFs22tT,rap,hip hop,0.717,0.493,5,-7.146,0,0.266,0.00578,0.0,0.156,0.258,139.833,123573
7ckK9JSAnCWy0m1fm1JBud,Call It Love,Summers Sons,31,5m8ztuj5PRSyjgLt0IJbh6,Call It Love,2018-08-06,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.636,0.48,1,-9.554,1,0.3,0.748,0.000626,0.104,0.359,83.928,250360
3wDdU9Cu6o5jv4PQT1NKab,I Found Your Heart,DubVision,0,5nRd1KaTm7bbd0PpTmzhbI,I Found Your Heart,2015-08-28,"Electrónica, Progressive House, Electro House y más 🎧",0o5gKmuET7F3lQnpFxvPO8,edm,progressive electro house,0.636,0.821,2,-3.654,1,0.0906,0.221,1.82e-05,0.0972,0.401,127.076,204094
6lTxUkFSQfGodETUF2TwsC,Dance Impulse,Agents Of Time,14,2Vs1rVjQ5i378pvVwpIOFh,Ordinary Cosmic Dance EP,2018-06-08,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.786,0.805,7,-10.795,1,0.0501,0.00291,0.859,0.32,0.368,126.02,371907
20FvX4zk1zejYVhpWwo4Pd,Espero Que Entiendas,Oz,26,6wp5MQOCU66UYRA3DR3Cfz,Espero Que Entiendas,2019-10-18,Great Pops,5SO7xYih5w8X5FEpKvU7Rt,latin,latin pop,0.588,0.7,0,-11.837,1,0.0418,0.0196,0.36,0.0888,0.17,128.059,253142
0Dxpx152ZrnjJds8MRZwnu,Space,Julian Jeweil,34,2lpXZE6v9Ee2AMFGsPZrhd,Space,2017-10-02,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.619,0.782,7,-8.004,1,0.0534,0.000728,0.927,0.692,0.0518,124.996,437120
5hvoedbyY9mLFsaxxP5oi7,Fireflies (feat. Luciana),Bassjackers,58,0NJA4KO9I5kd6AYOl5vsTk,Fireflies (feat. Luciana),2016-08-19,BIG-ROOM NEVER DIES !,4QtO2XySphMOJt7pX0yaVi,edm,big room,0.643,0.817,4,-3.506,0,0.0472,0.0164,0.00239,0.126,0.381,128.119,184697
2YnZugg0pdEkAtSHR4dwFo,No-No Song,Ringo Starr,44,6HuHvPC7L7MiJgkqpZlmH4,Goodnight Vienna,1974,The Black Album,0KNLLunbFh9XgitPMOGmQg,rock,album rock,0.902,0.534,0,-13.736,1,0.106,0.133,0.0,0.084,0.917,118.766,154693
1W0VrxYy1cCuaKe2ZplvMt,Fuego,DJ Snake,34,6X0m8YO71mLQyG6OX1iXtU,Carte Blanche,2019-07-25,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,1d0fonZHpN4LYHTKbmNRbm,latin,latin hip hop,0.819,0.859,8,-6.264,1,0.224,0.0244,0.0,0.0916,0.612,104.906,195429
5s8LepdwU0THzpd0M7nLsa,Te Soñé De Nuevo,Ozuna,64,6G5nG3kLpWF7aGRCAUhCf0,Te Soñé De Nuevo,2019-06-06,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,0.772,0.683,7,-2.867,0,0.107,0.0533,0.0,0.0936,0.773,168.04,199813
3OCQ5ybKASY4EIb4i9hsd7,Dead On Time - Remastered 2011,Queen,38,2yuTRGIackbcReLUXOYBqU,Jazz (2011 Remaster),1978-11-10,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,0.31,0.954,11,-4.56,0,0.288,0.00706,0.000136,0.237,0.421,143.736,203347
5g6QMEXgFeqJpVbhs4Z7Az,A Little More,Kaskade,0,2BbvMD9sUOSCajfsmqDQTE,A Little More,2014-11-03,"Electrónica, Progressive House, Electro House y más 🎧",0o5gKmuET7F3lQnpFxvPO8,edm,progressive electro house,0.435,0.76,11,-4.912,0,0.0386,0.00817,0.00173,0.123,0.192,127.911,233233
69yVxyuRahEzs2taFMVVoO,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,7,03JboE7JdI2P2lZjzVFjUP,The Blueprint 3,2009-09-08,Hip-Hop 'n RnB,0275i1VNfBnsNbPl0QIBpG,rap,southern hip hop,0.495,0.933,11,-3.977,1,0.395,0.0294,0.0,0.503,0.815,173.414,277400
2wKFW79tW7jtg7Ck1z7Wkc,Butt is Hot,Wanna Wake,18,1HaO5Q2Tj9pAq9gS9XDnvL,Butt is Hot,2018-05-11,Trending EDM by Nik Cooper,4N1ipiKR3xla8UXtE12XBm,edm,progressive electro house,0.711,0.941,3,-1.556,0,0.318,0.0463,0.0215,0.0982,0.489,150.067,189786
599cYawsBthDvauPoXNr7U,2 Hot 4 U (feat. $Uicdeboy$),Fat Nick,60,486XJuG3csCeNcTKnvEzyF,When the Lean Runs Out,2016-05-31,< DARK TRAP >,19WuHd4MxWLzE1fpMmw4S4,rap,gangster rap,0.77,0.623,8,-7.025,0,0.0569,0.0601,0.0,0.117,0.0947,134.974,199100
4YTyRXpZZH4dEuLfhekOFX,Now That You're Gone,Avazesa,23,3OX1zRbmAGVREbS2fbavC6,Now That You're Gone,2019-08-16,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,edm,pop edm,0.762,0.738,3,-6.623,1,0.0311,0.454,1.44e-06,0.0615,0.824,107.968,238623
4Ofg5uuH7qqDIXpAJMpXZV,Rayando El Sol,Maná,68,0umE2yr7H5jo91x7xhjoXY,Falta Amor,1990-07-02,Latin Pop Classics,37i9dQZF1DX6ThddIjWuGT,latin,latin pop,0.643,0.809,7,-3.275,1,0.028,0.45,1.22e-06,0.154,0.499,112.677,250107
60BtUdWzbKtpcXacm07m6b,Animal,Upchurch,42,0DHBUVA3ipqDJD3Iv9cgN7,Creeker 2,2019-04-20,Southern soul & hip hop,4xJULuV0P5PLcMe3xP8Pgj,rap,southern hip hop,0.548,0.728,9,-5.417,1,0.0362,0.0687,0.0,0.185,0.499,130.045,152341
29gsi1zZrZxdStACmTQB0Z,Studio,ScHoolboy Q,67,7Et3bSTLLqdABO1qCxUplS,Oxymoron (Deluxe),2014-01-01,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.709,0.589,8,-7.776,0,0.0433,0.0507,0.0,0.0585,0.58,133.922,278067
45dKmyXd3icRGH0s0LGESv,The Sinner,Isaac Delusion,49,12FsF7zGKN58k2VTlzwDAU,Rust & Gold,2017-04-07,Music&Other Drugs,5jROYSZSL7cO0jGAqkPx7C,pop,indie poptimism,0.382,0.657,10,-4.867,1,0.0329,0.11,0.00037,0.103,0.372,182.141,263453
5QOcepOSAdswU3fvhFPwZX,I'm Not Superstitious,Ken Clayton,12,5pXBNUV5Z0MIiE3ExCnIpq,80's Hard Rock Music Top Hits. The Greatest Best Songs 1980's,2014-03-20,80's Songs | Top 💯 80s Music Hits,65HtIbyFkaQPflCa4oW8KO,pop,electropop,0.542,0.769,5,-6.339,1,0.0319,0.11,0.0,0.0787,0.554,89.983,278374
5hqQwloNLjoiMxf1cOJLOV,Swangin',blackwave.,37,0z7yfLI0mbTy9gsbgW40m0,Swangin',2018-02-23,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.804,0.627,7,-6.835,0,0.224,0.103,0.0,0.275,0.596,129.986,181000
4ZKLmo5TSZebyenBpln7l8,Lacee's Groove,Lacee,32,6HbtmoBveLTEFafC6QDlVe,Lacee's Groove,2009-05-18,Southern Soul BBQ Mix,3nTS97zUqxJBQeiXNRs963,rap,southern hip hop,0.866,0.64,9,-4.098,0,0.0824,0.00996,1.59e-05,0.0755,0.563,103.011,247253
4Xtlw8oXkIOvzV7crUBKeZ,Rompe,Daddy Yankee,64,2rNUIqPFIbq5bSH46jHUZy,Barrio Fino En Directo,2005-01-01,Reggaeton Classics,37i9dQZF1DX8SfyqmSFDwe,latin,reggaeton,0.696,0.858,9,-5.155,1,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,188627
6q7HUVZZ5BDt2YBPM0s6Qn,Scorpio,Denzal Park,0,3QOWlztdoKnJrXdkikppIx,"Miami 2013 (Mixed by Mync, R3Hab and Nari & Milani)",2013-03-08,Fitness Workout Electro | House | Dance | Progressive House,6KnQDwp0syvhfHOR4lWP7x,edm,electro house,0.699,0.782,5,-2.757,0,0.0451,0.000748,0.855,0.078,0.378,126.996,338268
0DosTwoHVAziTd3GfQNIef,Triple Helix,KILLY,63,179HUK6fB1EVigC2PBILtG,Triple Helix,2019-11-01,Trap Nation 🔊,5aPwKjwNHr6dnCejLcPTVx,rap,trap,0.922,0.448,0,-9.197,0,0.309,0.231,0.0,0.246,0.233,130.017,142053
4Y42w1JJaLzCC1XGbxGjGc,How We Move (feat. King L),Lil Bibby,0,0JXk3OhiZBaYQaFhg06rFg,Free Crack,2014-12-08,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.587,0.497,2,-9.547,1,0.204,0.00127,0.0,0.287,0.137,70.141,219652
1SlmnBIvGymszbbmeLYLvV,Blah Blah Blah,Armin van Buuren,50,2DdKveT7c4kc5C3o4f3sGm,"A State Of Trance, Ibiza 2018 (Mixed by Armin van Buuren)",2018-08-10,"Festival Music 2019 - Warm Up Music (EDM, Big Room & Progressive House)",73uj4YmsC7SJ6SbUMTvf07,edm,progressive electro house,0.612,0.963,5,-3.912,0,0.0531,0.00897,0.00378,0.294,0.179,138.009,183519
0W5SiYQOGUsgpmL86KkPJz,Zipolite - Remix,Zilvano,11,6oklpW9cdzpRpdGyz6w4cf,Zipolite (Remix),2020-01-10,Paraíso Tropical,2v41efarffe6iY8qpMK5Gj,latin,tropical,0.731,0.652,9,-4.985,1,0.181,0.0833,0.0,0.0576,0.828,167.921,193251
2id1xnRQloCopsF5IFRY15,Only Girl,Kali Uchis,52,5k1bL1NVtMr8M8WbRbZCtM,Only Girl,2016-04-11,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.806,0.499,9,-7.245,0,0.151,0.198,3.71e-05,0.0711,0.402,148.033,222162
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,83,7l6fTSFvlumnPFpOSrbnDV,I Like Me Better,2017-05-19,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437
1urwvHUw8YORELR3sU0zZP,As Mulher - Gregor Salto Remix,Chernobyl,13,7HKVZNc5mfCADuVobFe8rp,As Mulher,2013-07-21,Latin Village 2019,3JcJCsvBnRsA6oc7eUYDSB,latin,latin hip hop,0.565,0.822,7,-5.03,1,0.365,0.0375,0.0136,0.031,0.378,191.624,281250
43CL49bukqUMNxontuQtR2,Zumba,Don Omar,57,24j7U1hm7C8WDr8cMdKcxt,Don Omar Presents MTO2: New Generation,2012-01-01,latin hip hop,3nH8aytdqNeRbcRCg3dw9q,latin,latin hip hop,0.729,0.894,5,-3.494,1,0.0397,0.00205,0.021,0.128,0.832,124.992,263973
7xZiL9HRMHGsQgqeQ7dPxw,Lighthouse,Luke Coulson,36,5InCKAOAsJY7HFEHyPZslq,Lighthouse,2019-12-20,Deep Electronic Music 2020 & Progressive House,5CMvAWTlDPdZnkleiTHyyo,edm,progressive electro house,0.697,0.368,11,-12.705,0,0.0425,0.316,0.00395,0.102,0.169,121.994,288113
5yVz80kgeLcrzHLWCol2xw,Feels Like Summer,Panama Wedding,0,0ksufBffBUgNagNo0aKtRM,Parallel Play EP,2014-01-01,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.785,0.665,6,-6.137,1,0.0449,0.0302,2.65e-05,0.247,0.769,129.037,249573
4ceYhlROdfqzWwwDS4BXCi,Gullah Gullah Island,Dear Silas,0,2QCtkMbZI3rkYh6rIkeEqg,Gullah Gullah Island,2015-11-18,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary,0.841,0.539,1,-8.102,0,0.0863,0.279,4.11e-06,0.686,0.299,128.022,190222
3F7LKUuasfyLrNCS1thKq0,Turn Up,Dimitri Vegas & Like Mike,58,4BHPugJ7ICjfAHosfafxPQ,Tomorrowland 2019 EP,2019-08-30,EDM 2019,1T0ed6Mg0QIruHvcoWWIKy,edm,pop edm,0.616,0.949,1,-3.986,0,0.0546,0.00694,0.00997,0.368,0.101,130.017,253385
3vV3cr2TpPqFk07zxYUbla,Cum on Feel the Noize,Quiet Riot,69,3Q3rQ8FK1e9Fd9Gv9xm3CK,Metal Health,1983,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,290960
32kgOw8wejH7zUhtXCM8DH,More Than a Feeling,Boston,19,01OahkTPRCleDjobtRk7ST,Boston,1976,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133
0w1ZtnzQmtmuuoKxHT0pLL,Summer Games,Drake,4,2o9McLtDM7mbODV7yZF2mc,Scorpion,2018-06-29,PROJECT: Contemporary,6HaCi9bqaiuSZEDfCEmwyo,r&b,urban contemporary,0.776,0.482,1,-11.268,1,0.0356,0.481,0.0457,0.11,0.128,136.015,247893
3YwmxsHVIYWfNcaM8RWfGm,Saké,Chalky,42,5WcQMjGMtDrdM0b5pB2hWT,Blooe,2019-06-11,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.36,0.711,10,-7.926,1,0.257,0.4,0.355,0.92,0.554,144.258,213699
3QkNkun3dzkeGo1jpkC76S,Use Somebody,Kings of Leon,4,61SxnbmY4W4CaZJFO8aMgF,Use Somebody,2008-11-21,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.272,0.735,0,-5.416,1,0.0459,0.00533,0.000648,0.122,0.158,137.173,231800
1s0nANz8q6gEZOms034GbU,PHANTOM,reezy,75,6bnioLwx2iB2HP2wSvg4BC,PHANTOM,2019-10-25,Modus Mio,37i9dQZF1DX36edUJpD76c,rap,hip hop,0.866,0.533,0,-7.512,0,0.0953,0.125,0.00199,0.085,0.325,88.993,170227
5bSASu4W0HJx6CuG8rbRcA,Reel Around the Fountain - 2011 Remaster,The Smiths,51,6cI1XoZsOhkyrCwtuI70CN,The Smiths,1984,permanent wave,7rPsfDTqiZYIT4PVzQ4c0c,rock,permanent wave,0.67,0.571,9,-9.976,1,0.0255,0.00507,7.23e-05,0.124,0.899,109.905,359227
4J3hR8nrvYijnTjd195KG7,Say Something - The Four Performance,Zhavia Ward,49,6iQ6hPcv8TOgiq8XygKLqk,Say Something (The Four Performance),2018-02-02,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,0.252,0.396,2,-5.332,1,0.0298,0.84,0.0,0.112,0.127,97.609,228784
6sYJuVcEu4gFHmeTLdHzRz,Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,4kFCmKMq1c6gl8eema7wkg,Bittersweet Symphony (feat. Emily Roberts),2019-03-29,Dance Pop Hits,37i9dQZF1DX6pH08wMhkaI,pop,dance pop,0.676,0.582,9,-7.58,1,0.128,0.221,0.00627,0.515,0.447,124.012,194618
3hxrdVUhsIlkZhYVhluLVc,Si No Le Contesto - Merengue Version,Plan B,5,10a5h4vll69IZ1MFDHFDAF,Latino 42,2011-12-29,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.867,0.73,6,-5.071,0,0.039,0.115,0.0,0.083,0.939,109.982,195160
0f9h8awV1X4jSllHXXYdfX,Sharp Dressed Man,ZZ Top,53,20ZZfEgbODMenFN8EKlVFh,ZZ Top's Greatest Hits,1992-04-13,Supernatural Classic Rock,6oghIlByD49KFGNmNU8GSH,rock,classic rock,0.653,0.766,0,-8.078,1,0.0261,0.000464,0.00206,0.103,0.396,125.113,251947
35HNMw0QuZdapDulrvLch5,Mandy,Ian Storm,19,2TRPkJF7JQTDy3lb3NSeCn,Mandy,2019-03-22,Electropop - Pop,5TiiHps0hNCyQ6ijVkNZQs,pop,electropop,0.816,0.679,7,-7.551,1,0.0436,0.239,0.0,0.209,0.717,118.017,176853
65mOk4n0tfrMysFXu12ufx,Don't Waste My Time,Kharfi,46,4n7kOauHRMuQ97McSDr0zm,Don't Waste My Time,2019-11-08,Dance Room,37i9dQZF1DX2ENAPP1Tyed,pop,dance pop,0.772,0.687,9,-6.348,0,0.211,0.0528,0.0,0.834,0.59,118.116,154286
2vfvGlqCB7oertO5VLE0sz,ATLiens,OutKast,67,1IaBCF26OjgYwUCEPaIyC0,ATLiens,1996-08-27,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.918,0.734,11,-2.832,0,0.269,0.0294,7.9e-06,0.191,0.608,97.044,230693
6c6JgrtZ5OfOd4Eq9nyPQL,Sobredosis,Axel White,14,0pm2rXiNZBFSCAfTLJxshF,Sobredosis,2020-01-10,Tropical Rising,37i9dQZF1DX07X8UDWKEwP,latin,tropical,0.461,0.735,4,-5.722,0,0.138,0.0559,7.5e-06,0.689,0.59,126.765,204251
7pcm6L3cgpfBB74H0btIkB,2 Real,Scarface,33,2q2wy7VKGFgSIi3q2djUFJ,My Homies,1998,90's Southern Hip Hop,2NMW1nwQYSVlXd26uLenX6,rap,southern hip hop,0.784,0.482,4,-10.948,0,0.0527,0.0614,2.46e-05,0.0935,0.728,130.988,283440
70nmZhHZLNVYWP4NON41Zw,Runnin' Thru The 7th With My Woadies,$uicideBoy$,72,0zEbhG51umfmVIzSmQk6mK,$outh $ide $uicide,2015-09-01,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.526,0.62,8,-7.244,0,0.281,0.067,0.000241,0.139,0.187,112.027,205766
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,80,6deiaArbeoqp1xPEGdEKp1,By the Way (Deluxe Edition),2002-07-09,Permanent wave,0tOy7ZY4E2PadXIyj8zU43,rock,permanent wave,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,269000
7jVqCPyq6XJrVkWqDPakor,Can't Front on Me,Pete Rock & C.L. Smooth,27,2AgTKAULjbHpqqtyI53hdp,Mecca And The Soul Brother,1992-05-26,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.679,0.783,4,-11.118,0,0.0861,0.243,0.000418,0.343,0.785,92.847,256840
6TAo21yrAU1tZskiRxivRm,Rewind,Cornpop,50,5jT0IK2DZBrhUC9paSmanT,Rewind,2017-02-24,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.725,0.823,7,-4.76,1,0.0814,0.0336,0.0693,0.191,0.237,112.045,207615
1k08GK7ox8SDmEMvn81TwU,Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,0I9UedpOOvAbt7MsHe1X6U,Can We Pretend (feat. Cash Cash) [Sigala Remix],2019-06-28,Pop EDM Remixes,4aUEH3uhbofktrFkXOOaKj,edm,pop edm,0.703,0.879,1,-4.514,0,0.177,0.0693,0.0,0.315,0.542,124.972,183360
3APlBPXmTYV1yZO0dngkdq,People Get Ready,The Impressions,11,2qJJcts8W4FQn0i7GcMsPQ,People Get Ready,1965-02-07,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.398,0.249,1,-12.719,1,0.0414,0.906,5.71e-06,0.189,0.349,142.239,163360
7qLqv48Sl8JTFRlqotyvfY,Mondsichel,Celo & Abdi,0,19BGV72wsXpj1FMKvYX6NF,Mondsichel,2017-10-13,GANGSTA Rap,5GA8GDo7RQC3JEanT81B3g,rap,gangster rap,0.544,0.59,4,-6.677,0,0.464,0.265,0.0,0.092,0.32,80.026,297324
7sO0dVFCfixpLshm4daMH3,What The Price,Migos,55,2AvupjUeMnSffKEV05x222,Culture,2017-01-27,RAP Gangsta,1Z1gW89x4MSBjkvVjGg7DQ,rap,gangster rap,0.786,0.625,6,-4.194,1,0.0542,0.293,0.0,0.15,0.216,123.983,248506
0DqMWvzd9AU6z5LBEYSs4r,Je m'en vais,Cali,30,2ovfC6x6h7Ls96tR1V6O4m,Menteur,2005-09-30,L' ALBUM ROCK,0jilq2XZP9F2fwzp2k6iXK,rock,album rock,0.689,0.849,10,-4.979,0,0.0377,0.217,1.16e-06,0.136,0.839,102.013,233720
6GfpYM3NVqysfWKXBUfKWn,Ordinary Nigga,Jonah Cruzz,36,7a36LgNi9tPHx5IehVSWk2,Ordinary Nigga,2014-12-28,Urban/Trap - Contemporary RAP,5CK0fshHcik1vWyeCc0zat,r&b,urban contemporary,0.754,0.741,5,-9.579,0,0.428,0.0464,0.0,0.192,0.807,147.428,193063
6V9fHiv84WlVTg7CSnIVY2,Graveyard,Halsey,87,66QwiCFDLtRbrZ5Vs9wlL9,Graveyard,2019-09-13,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806
0S2qnVdqf8A8XXt10fWBZL,Calle Luna Calle Sol,Willie Colón,2,27RB4wbSSei1uyDJfrsxT2,Anthology,2012-04-10,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.483,0.892,5,-6.378,0,0.0793,0.416,1e-05,0.121,0.839,179.315,225493
